-proof	耐	1164
-times	回	586
Africa	阿	1295
Andromeda	奎	2932
Asia	亜	1809
Big Dipper	斗	1177
Bldg.	館	1478
Bldg. [old]	舘	2980
Buddha	仏	964
Buddhist priest	僧	982
Buddhist temple	寺	158
Chinese black pine	槙	2492
Chinese panpipe	笙	2628
Confucian	儒	1166
Dr.	博	47
England	英	1741
Esq.	様	933
Europe	欧	1699
Go	碁	1766
Hades	冥	2841
Heights	阪	1294
I	吾	17
I (one)	壱	457
I wonder	哉	2704
II	弐	355
Inst.	院	1304
Italy	伊	1161
Japanese Judas-tree	桂	198
Japanese cypress	桧	2495
Japanese cypress [old]	檜	2964
Japanese oak	楢	2493
Korea	韓	1647
Manchu dynasty	秦	2877
Mount	岡	1961
Mr.	殿	1805
Nara	奈	1094
No.	第	1239
Noh chanting	謡	1968
Oriental elm	椋	2474
Point	岳	1330
Point [old]	嶽	2987
Sanskrit ka	迦	2959
Shakyamuni Buddha	陀	2955
Shinto shrine	宮	1033
Sino-	漢	1578
Sung dynasty	宋	2215
T	唐	1157
Utamaro	麿	2894
V	伍	2967
V.I.P.	賓	511
Way	迪	2412
X	什	2968
Yamato	倭	2106
Zen	禅	1930
a	或	2091
a-un	狛	2343
abandon	棄	758
abbreviation	略	293
abdomen	腹	464
abet	援	1951
abide by	遵	2031
ability	能	2004
abolish	廃	1706
abounding	浩	2311
about that time	頃	2791
above	上	49
above-stated	該	1522
abrupt	俄	2110
abundant	裕	793
abuse	弊	1041
abyss	渕	2325
abyss [old]	淵	2966
accept	受	735
accept humbly	戴	2702
accidentally	偶	1955
accolade	頌	2794
accompany	従	877
accomplished	達	552
accumulate	累	1364
accusation	訴	1139
accustomed	慣	627
achievement	功	863
acid	酸	1437
acknowledge	認	598
acquiesce	承	1901
add	加	867
addiction	耽	2679
address	宛	1417
adhere	付	1000
adjusted	斉	1729
adjutant	佑	2126
admirable	偉	1643
admonish	警	336
adore	崇	1101
adroit	巧	1241
advance	進	561
advise	諏	2722
affair	件	959
affinity	縁	1372
affix	貼	2736
affixed	附	1303
afflicted	患	604
again	再	1815
age	齢	1403
aged woman	姥	2204
aggression	攻	330
aglow	晟	2438
agony	悶	2775
agreement	肯	374
agriculture	農	2014
aid	扶	839
aim at	狙	2344
air out	曝	2447
alienate	疎	1668
all	皆	449
alliance	盟	1450
alligator	鰐	2824
allot	充	761
almost	殆	2871
alms	施	1045
amass	蓄	1385
ambition	望	489
ambrosial	馨	2925
ancestor	祖	1779
ancestral shrine	祢	2601
ancestral tablet	祐	2599
anchor	錨	2765
ancient harp	筑	2637
and then	而	3006
angle	角	1812
angling	釣	273
angry	怒	703
animal	獣	1933
animal offspring	仔	2113
animal sacrifice	牲	1559
annexed	添	634
ant	蟻	2686
anti-	反	722
anus	肛	2459
anxiety	煩	163
apologize	謝	1250
appear	顕	1789
appellation	称	905
applaud	嘉	2852
apple	檎	2050
apple of the eye	眸	2580
apply	応	607
apprehend	逮	1160
apprehensive	畏	2569
approve	賛	843
apricot	杏	203
arc	弧	1878
ardent	烈	814
argument	論	1820
arm	腕	1418
armor	甲	1113
armpit	脇	870
armrest	肱	2469
army	軍	301
aroma	匂	2147
aroused	憤	1199
arrest	拘	654
arrival	到	755
arrogance	傲	3018
arrow shaft	箭	2636
arrowhead	鏑	2758
art	術	1525
artisan	匠	1693
as if	恰	2281
as is	侭	2125
ascend	登	1703
ashes	灰	168
assault	殴	1698
assemble	輯	2732
assets	資	473
assiduous	孜	2209
assistant	佐	952
association	組	1776
assortment	撰	2253
assurance	確	567
astray	迷	924
astringent	渋	1738
astute	慧	2851
atmosphere	雰	2028
attack	襲	2025
attend	仕	960
attentive	聡	2677
attire	装	398
attitude	態	2005
attract	惹	2429
attractive	嬌	430
audience	謁	452
augment	殖	811
augury	卜	2103
auspices	斡	2781
auspicious	祥	1088
authochthonous	坤	2184
authority	権	571
autumn	秋	900
awakening	醒	2750
awe	敬	334
awl	錐	2760
axe	斤	1125
axis	軸	1112
babble	唖	2958
baboon	狒	2346
back	裏	399
back [old]	裡	2973
backpack	笈	2644
bad	悪	1810
badge	章	433
bag	俵	1547
baggage	荷	1013
bake	焼	1200
balancing scales	秤	2604
bald	禿	2606
bale	梱	2518
ball	球	935
ballot	票	1606
bamboo	竹	937
